2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3869] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3870] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3871] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3872] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3873] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3874] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3875] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3876] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3877] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3878] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3879] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[Register:3880] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3881] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3882] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3883] exit with status 65280
2020-01-26 14:09:29 pid:3786 worker[YourAppGateway:3884] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3885] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3886] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3887] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3888] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3889] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3890] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3891] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3892] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3893] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3894] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3895] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3896] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3897] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3898] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3899] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3900] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3901] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3902] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3903] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3904] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3905] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3906] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3907] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3908] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3909] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3910] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3911] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3912] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3913] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[YourAppGateway:3914] exit with status 65280
2020-01-26 14:09:30 pid:3786 worker[Register:3915] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3916] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3917] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3918] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3919] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3920] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3921] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3922] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3923] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3924] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3925] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3926] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3927] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3928] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3929] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3930] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3931] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3932] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3933] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3934] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3935] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3936] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3937] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3938] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3939] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3940] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3941] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3942] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3943] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3944] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[Register:3945] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3946] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3947] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3948] exit with status 65280
2020-01-26 14:09:31 pid:3786 worker[YourAppGateway:3949] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3950] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3951] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3952] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3953] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3954] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3955] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3956] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3957] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3958] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3959] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3960] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3961] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3962] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3963] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3964] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3965] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3966] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3967] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3968] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3969] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3970] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3971] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3972] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3973] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3974] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3975] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3976] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3977] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3978] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3979] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[Register:3980] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3981] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3982] exit with status 65280
2020-01-26 14:09:32 pid:3786 worker[YourAppGateway:3983] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3984] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:3985] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3986] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3987] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3988] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3989] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:3990] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3991] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3992] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3993] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3994] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:3995] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3996] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3997] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3998] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:3999] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:4000] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4001] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4002] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4003] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4004] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:4005] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4006] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4007] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4008] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4009] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:4010] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4011] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4012] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4013] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4014] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[Register:4015] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4016] exit with status 65280
2020-01-26 14:09:33 pid:3786 worker[YourAppGateway:4017] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4018] exit with status 65280
